full_date,weekday,time,mood
2021-07-08,Thursday,15:51,fine I’m fine 
2021-07-07,Wednesday,15:56,meh
2021-07-06,Tuesday,13:42,fine I’m fine 
2021-07-05,Monday,18:53,meh
2021-07-04,Sunday,22:00,fine I’m fine 
2021-07-03,Saturday,22:37,fine I’m fine 
2021-07-03,Saturday,19:26,meh
2021-07-02,Friday,19:58,calm happy
2021-07-01,Thursday,16:00,in love
2021-07-01,Thursday,13:02,fine I’m fine 
2021-06-30,Wednesday,22:42,fine I’m fine 
2021-06-29,Tuesday,23:16,in love
2021-06-29,Tuesday,10:16,irritated
2021-06-28,Monday,23:50,fine I’m fine 
2021-06-28,Monday,10:59,meh
2021-06-27,Sunday,21:48,calm happy
2021-06-27,Sunday,15:11,fine I’m fine 
2021-06-26,Saturday,16:41,fine I’m fine 
2021-06-25,Friday,15:51,meh
2021-06-25,Friday,15:51,fine I’m fine 
2021-06-24,Thursday,11:49,meh
2021-06-24,Thursday,02:19,anxious
2021-06-23,Wednesday,20:32,anxious
2021-06-22,Tuesday,19:56,meh
2021-06-21,Monday,14:24,meh
2021-06-21,Monday,05:25,in love
2021-06-20,Sunday,16:30,fine I’m fine 
2021-06-19,Saturday,15:55,meh
2021-06-18,Friday,14:47,meh
2021-06-17,Thursday,17:03,sick
2021-06-17,Thursday,12:03,bad
2021-06-16,Wednesday,08:25,fine I’m fine 
2021-06-15,Tuesday,11:38,fine I’m fine 
2021-06-14,Monday,20:20,fine I’m fine 
2021-06-14,Monday,09:00,meh
2021-06-13,Sunday,13:56,fine I’m fine 
2021-06-12,Saturday,21:20,fine I’m fine 
2021-06-12,Saturday,15:59,fine I’m fine 
2021-06-11,Friday,22:59,meh
2021-06-11,Friday,15:46,fine I’m fine 
2021-06-10,Thursday,15:44,irritated
2021-06-09,Wednesday,23:28,fine I’m fine 
2021-06-09,Wednesday,15:02,fine I’m fine 
2021-06-08,Tuesday,23:28,meh
2021-06-07,Monday,13:32,fine I’m fine 
2021-06-06,Sunday,14:48,fine I’m fine 
2021-06-05,Saturday,21:05,fine I’m fine 
2021-06-05,Saturday,16:05,meh
